cvegeo,centroide
090050001313A,POINT (-99.13200353503062 19.50470055766469)
0900500013163,POINT (-99.09461498407984 19.49929535822658)
0900500013182,POINT (-99.14429163786565 19.53677206183913)
0900500013197,POINT (-99.14440408547947 19.53317956543152)
090050001320A,POINT (-99.14658497178387 19.53318477707343)
0900500011985,POINT (-99.07615855470087 19.46827800626603)
0900500012269,POINT (-99.0828893821049 19.45587419115918)
0900500012362,POINT (-99.06695266676525 19.45674854380304)
090050001295A,POINT (-99.08098322311737 19.47045190034146)
0900500012112,POINT (-99.09664669608964 19.46172138720593)
0900500012358,POINT (-99.07115942828699 19.45533060370048)
0900500012447,POINT (-99.06085485170657 19.45099934492412)
0900500012409,POINT (-99.0640892504608 19.45363462741724)
0900500012752,POINT (-99.13113518556381 19.55033906409243)
0900500013233,POINT (-99.13013436995087 19.56682732535934)
0900500013248,POINT (-99.12582265197591 19.56818933612585)
0900500010440,POINT (-99.15830559813189 19.51862078503702)
0900500013252,POINT (-99.13881518966841 19.56193172806492)
0900500013303,POINT (-99.14670975314077 19.5192607886054)
0900500013322,POINT (-99.13595260057822 19.57468132376295)
0900500013341,POINT (-99.08620880116267 19.48534707855072)
0900500013375,POINT (-99.14750443621409 19.51458290185602)
090050001338A,POINT (-99.14269792416201 19.51199229177119)
0900500013394,POINT (-99.09128292745092 19.48329533991114)
0900500012767,POINT (-99.13118775560548 19.5482383741344)
0900500010455,POINT (-99.15450609433101 19.51820378987929)
0900500011152,POINT (-99.10383629606535 19.49194477730016)
0900500011148,POINT (-99.10735122336551 19.49087184501014)
0900500012837,POINT (-99.13653939437448 19.52194930262771)
0900500012841,POINT (-99.13401371366666 19.52191668402736)
0900500012856,POINT (-99.14023963869414 19.51564457324793)
0900500012860,POINT (-99.13661411256187 19.51266960738151)
0900500012907,POINT (-99.09600318225947 19.48612328360554)
0900500012930,POINT (-99.08422777326662 19.48459811827146)
090050001288A,POINT (-99.10550037888616 19.50868648702096)
0900500010313,POINT (-99.14381801341476 19.52530669533203)
0900500010328,POINT (-99.14130104105375 19.52463208027348)
0900500010332,POINT (-99.13837246961376 19.52464298784821)
0900500010402,POINT (-99.15468719913704 19.52248888035308)
0900500010370,POINT (-99.16587935990349 19.52654447981212)
0900500010864,POINT (-99.07246082832877 19.49845874497244)
0900500011237,POINT (-99.14786786332321 19.48611602234398)
0900500011203,POINT (-99.07835925457708 19.49167298776388)
0900500010474,POINT (-99.15984421735791 19.51590348677358)
0900500011364,POINT (-99.06905644907332 19.48495820321357)
0900500011383,POINT (-99.1444587677254 19.47823965033344)
0900500011415,POINT (-99.12508182694575 19.47972482933413)
0900500011434,POINT (-99.11684626928457 19.48084888257132)
0900500011449,POINT (-99.11375749028339 19.47938572915964)
0900500011453,POINT (-99.10759919312787 19.48086274640665)
0900500011612,POINT (-99.11754221510373 19.47715374267736)
0900500013110,POINT (-99.1321576792196 19.51182277762323)
0900500011754,POINT (-99.13285363727333 19.46887460762768)
0900500012019,POINT (-99.06444680719601 19.47146818884262)
0900500012199,POINT (-99.11530094433265 19.45919739599812)
0900500012057,POINT (-99.11499197042026 19.46581851293521)
0900500012324,POINT (-99.08652873093645 19.45255132483335)
0900500012451,POINT (-99.05741570854849 19.4521058225298)
0900500012682,POINT (-99.08875315706838 19.50633283796884)
0900500012697,POINT (-99.0952811301442 19.50531268584469)
090050001263A,POINT (-99.09980922524055 19.5101762915078)
0900500012644,POINT (-99.09726139274726 19.51094858809906)
0900500010296,POINT (-99.14947806091276 19.52668756946312)
0900500012659,POINT (-99.09514597528306 19.50934486326666)
0900500012663,POINT (-99.09283667842581 19.5082609805873)
0900500012678,POINT (-99.09853260348518 19.50721900790964)
090050001270A,POINT (-99.05867278739824 19.45548273382264)
0900500012875,POINT (-99.13713670306916 19.50881106414586)
0900500012733,POINT (-99.1307907230134 19.56137391446761)
0900500012748,POINT (-99.13020385480814 19.55258414680607)
0900500010351,POINT (-99.12947986381226 19.52175135905681)
0900500010915,POINT (-99.14866371837036 19.49495806432345)
0900500011400,POINT (-99.13442927538556 19.47697751958253)
0900500013426,POINT (-99.13483209074073 19.53678574806929)
0900500011114,POINT (-99.12796862337238 19.48697338877796)
0900500011256,POINT (-99.13528937612222 19.48327356874891)
0900500013337,POINT (-99.08747811878887 19.48647051235548)
0900500011330,POINT (-99.08026631547257 19.48835610127183)
0900500010281,POINT (-99.15166532814476 19.52794420615604)
0900500012822,POINT (-99.14412575933528 19.52874724422288)
0900500012061,POINT (-99.11077741843175 19.4636366357668)
0900500011063,POINT (-99.14731344901099 19.49213180606844)
0900500010084,POINT (-99.14184545059061 19.55613608225175)
0900500010099,POINT (-99.15131175449257 19.5535450577995)
0900500010101,POINT (-99.14467201681869 19.55213371584444)
0900500012610,POINT (-99.12633173574949 19.55822434994178)
0900500012625,POINT (-99.12754416948827 19.55486166114154)
0900500012606,POINT (-99.12586182510111 19.56224834055753)
0900500013055,POINT (-99.09070431492262 19.47399692361844)
090050001306A,POINT (-99.08966574763808 19.47189504057627)
0900500013074,POINT (-99.08723002895832 19.47081567418119)
0900500013089,POINT (-99.13718463201866 19.5508768647547)
0900500013445,POINT (-99.12676609884518 19.57248527851987)
0900500012432,POINT (-99.06465148247139 19.4495642698954)
0900500012004,POINT (-99.06820009680396 19.46704649271975)
0900600010522,POINT (-99.0723130171213 19.38918675750212)
090050001224A,POINT (-99.09037906266492 19.45890092441133)
0900500012080,POINT (-99.1004605599381 19.46463378324338)
0900500011877,POINT (-99.10085753666498 19.46789767901941)
0900500012945,POINT (-99.08353726055532 19.47136361715782)
0900500012254,POINT (-99.08642188637624 19.45746965208563)
0900500010807,POINT (-99.10667713493879 19.49802208014848)
0900600010185,POINT (-99.07604096276707 19.40322748262779)
0900600010147,POINT (-99.10003822378555 19.40616624647631)
0900600010950,POINT (-99.13310458947292 19.37929058569034)
090060001001A,POINT (-99.06848601375057 19.41586931975714)
0900600010024,POINT (-99.06377624885762 19.41941577982458)
0900600010927,POINT (-99.10948995216479 19.38307277846422)
0900600010999,POINT (-99.06113568695966 19.38901405531092)
0900600010058,POINT (-99.07116325874466 19.41328690625193)
0900600011126,POINT (-99.11707855154827 19.39662713279823)
0900600010109,POINT (-99.05843615927949 19.40716469563566)
0900600010128,POINT (-99.06462923777467 19.40304032743137)
0900600010132,POINT (-99.10411965467374 19.40226515987117)
0900600010151,POINT (-99.0889821699389 19.4032362295948)
0900600010166,POINT (-99.08066267129036 19.40466228179632)
0900600010039,POINT (-99.05800490979361 19.41785229980559)
0900600010217,POINT (-99.06047781722164 19.39489813235484)
0900600010221,POINT (-99.13335032063108 19.40083659081618)
0900600010236,POINT (-99.12766127827092 19.40184375460792)
0900600010965,POINT (-99.12979208607882 19.37919981671359)
0900600010240,POINT (-99.12769754292471 19.39881960086543)
0900600010255,POINT (-99.12182407152642 19.40259789540889)
0900600010274,POINT (-99.11629191006095 19.40347135293873)
0900600010876,POINT (-99.13238196331835 19.38409211659337)
0900600010378,POINT (-99.13041135568979 19.39397773624905)
0900600010490,POINT (-99.0855138384089 19.39396686940084)
0900600010503,POINT (-99.08238333596418 19.39196098327114)
0900600010518,POINT (-99.07575601675651 19.39064259654917)
0900600010537,POINT (-99.06970484944421 19.38878767907996)
0900600010541,POINT (-99.06793940623849 19.38693453506517)
0900600010749,POINT (-99.13127412280349 19.38864314510549)
0900600010804,POINT (-99.1156655019202 19.38395371977857)
0900700015910,POINT (-99.06205057808556 19.33052772429326)
0900600010931,POINT (-99.10683208133092 19.38236987214263)
0900600010946,POINT (-99.10310487109213 19.38205372817067)
090060001097A,POINT (-99.12699852295012 19.37890383828188)
0900600010984,POINT (-99.12399514808951 19.37792046099439)
0900600011003,POINT (-99.06267999184116 19.38597999373201)
0900600011018,POINT (-99.09219990749062 19.38829615437477)
0900600011022,POINT (-99.06355090068128 19.38378279035156)
0900600011037,POINT (-99.09385212644334 19.38554546093484)
0900600011056,POINT (-99.12105449496795 19.38458073131791)
0900600011060,POINT (-99.11857706050201 19.38461516509925)
0900600011075,POINT (-99.11251127547484 19.38338031646746)
090060001108A,POINT (-99.09536973432054 19.38234898152718)
090060001115A,POINT (-99.09802981277376 19.38076764705572)
0900600011198,POINT (-99.07360135789645 19.4089225730422)
0900600010626,POINT (-99.10652325523007 19.3883547088058)
0900600010414,POINT (-99.11237566563611 19.39634653943099)
0900600010683,POINT (-99.0989589514129 19.38799067537995)
0900600010486,POINT (-99.08868189772733 19.39293866579042)
0900600010043,POINT (-99.06299075967227 19.4165483752443)
0900600010077,POINT (-99.06385382848129 19.40980725769746)
0900600010081,POINT (-99.06202620619818 19.40850993029114)
0900600010096,POINT (-99.06024457203165 19.40793808547916)
0900600010344,POINT (-99.07147608469216 19.39471486244657)
0900600010359,POINT (-99.0678175992838 19.39399735224921)
0900600010363,POINT (-99.06359315599275 19.39292367798947)
0900600010452,POINT (-99.10082135928069 19.39530415233861)
0900600010467,POINT (-99.09717173069535 19.3953050622671)
0900600010471,POINT (-99.09330629208208 19.39459185369825)
090060001058A,POINT (-99.11521190331149 19.39008209729106)
0900600010607,POINT (-99.11048611007557 19.39219251045855)
0900600010611,POINT (-99.10628094400721 19.39151907248066)
0900600010630,POINT (-99.10174453992009 19.39320682817845)
0900600010664,POINT (-99.1032775539441 19.3881970682019)
0900600010698,POINT (-99.09645480893251 19.39161543380467)
0900600010700,POINT (-99.09576990528527 19.38814461200045)
0900600010715,POINT (-99.09474042038974 19.39151873194291)
090060001072A,POINT (-99.0930943638117 19.39145239820125)
0900700015249,POINT (-99.08499014763092 19.32698336587847)
0900600010734,POINT (-99.09143571684322 19.39074217300988)
0900600010787,POINT (-99.12012633470425 19.38947316920014)
0900600010791,POINT (-99.11686162917687 19.38759724699039)
0900600010823,POINT (-99.10971831550219 19.38628946580716)
0900600010838,POINT (-99.10586487344912 19.3854786860595)
0900600010842,POINT (-99.10233484012795 19.38480939156312)
0900600010880,POINT (-99.12886731583434 19.38328189970721)
0900600010895,POINT (-99.1250342049363 19.38274426811621)
0900600010908,POINT (-99.12325648742352 19.38430104464213)
0900600011111,POINT (-99.12169117535886 19.39682252690448)
0900600011130,POINT (-99.09820568674927 19.38466469339157)
0900600011179,POINT (-99.06643161841524 19.41085367135211)
0900600011183,POINT (-99.06685768645863 19.40693685452171)
0900600011200,POINT (-99.07125097135001 19.40876172985281)
0900600010170,POINT (-99.08052963011603 19.40123718563116)
0900600010556,POINT (-99.0648131138629 19.38830102358624)
0900600010448,POINT (-99.10412964719518 19.39548641374927)
0900600010645,POINT (-99.10261635970768 19.39050079322826)
090060001065A,POINT (-99.10075768339615 19.38981776381125)
0900600010289,POINT (-99.11503371753597 19.40002607644987)
090060001019A,POINT (-99.06947820487068 19.40232692255221)
0900600010202,POINT (-99.06434146598858 19.39869856184061)
0900700015713,POINT (-99.08402885104965 19.33426704410656)
090060001026A,POINT (-99.11986495471849 19.39936718613169)
0900600010293,POINT (-99.11015669925951 19.40102541534604)
0900600010679,POINT (-99.09838681937083 19.39205551739599)
0900600010310,POINT (-99.07961459857766 19.39574336000008)
0900600010325,POINT (-99.07395368789005 19.39765424958616)
090060001033A,POINT (-99.06938734716203 19.39884999864208)
0900600010382,POINT (-99.12795696901829 19.39427973360554)
0900600010397,POINT (-99.12470966414718 19.39356200752193)
0900600010429,POINT (-99.10903576864099 19.39589457463162)
0900600010433,POINT (-99.10654381902621 19.39561512576656)
0900600010575,POINT (-99.11849174640234 19.39356772975338)
0900600010594,POINT (-99.11167772823929 19.39003298639195)
0900600010753,POINT (-99.12832678711062 19.38827469373717)
0900600010768,POINT (-99.12618281813374 19.3877407303391)
0900600010772,POINT (-99.12396135756413 19.3880324815147)
0900600011164,POINT (-99.0993560612759 19.38193844581536)
0900600011041,POINT (-99.11344697141621 19.38684485823902)
0900600011094,POINT (-99.09614139437103 19.39977566896523)
0900700013986,POINT (-99.08151097398532 19.33962151748371)
0900600011107,POINT (-99.09168672943099 19.39774873538789)
0900700010638,POINT (-99.01128529069666 19.37447620736232)
0900700012121,POINT (-99.06142978062061 19.31020270072191)
0900700010271,POINT (-99.02841412481445 19.38438596878445)
0900700010623,POINT (-99.01531985647138 19.37711494303684)
0900700010479,POINT (-99.01977235326818 19.37989893209635)
0900700012723,POINT (-98.98336470542205 19.34615645303331)
0900700013632,POINT (-99.11482953518394 19.37769263537775)
0900700014274,POINT (-98.97776033342728 19.3266050668042)
0900700012795,POINT (-99.00073168817308 19.34458618375729)
0900700014842,POINT (-98.97327013725884 19.3332718077666)
0900700015291,POINT (-99.00434255948993 19.3474991525455)
0900700011458,POINT (-99.06245766772378 19.3471690760639)
0900700011462,POINT (-99.0590526648634 19.34591788797574)
0900700013897,POINT (-99.07285652379876 19.31475049115302)
0900700010642,POINT (-99.1345258579482 19.36421171500493)
0900700011585,POINT (-99.08530670247562 19.33887031869982)
0900700011180,POINT (-99.11389105175539 19.35343217751889)
0900700011195,POINT (-99.10897506322712 19.35299254089278)
0900700010500,POINT (-99.12849786285257 19.37162254412318)
0900700010515,POINT (-99.12510023041871 19.37190659220361)
090070001369A,POINT (-98.99958018566824 19.37018344869705)
090070001440A,POINT (-99.06690779123093 19.28847543637688)
0900700011852,POINT (-99.10437172998469 19.32860649161326)
0900700011867,POINT (-99.09959878447211 19.32665818885443)
0900700011941,POINT (-99.09525441494981 19.31756373507173)
0900700010229,POINT (-99.05801990655189 19.38277335025939)
0900700012371,POINT (-99.03286106547917 19.3878545886731)
0900700012386,POINT (-99.03214807635129 19.3859857456039)
0900700010017,POINT (-99.05347932020261 19.39720386773545)
0900700013990,POINT (-99.08421512676108 19.33773822819283)
0900700010888,POINT (-98.9951252197889 19.36805636383612)
0900700011176,POINT (-99.11933842004224 19.35438355087401)
0900700010924,POINT (-99.12557177385669 19.35921844839321)
0900700014397,POINT (-99.06488291445065 19.29093604575284)
0900700013100,POINT (-99.00838399337263 19.33871823335068)
0900700014575,POINT (-99.05792005125234 19.37441258694225)
0900700010680,POINT (-99.11786099759252 19.36670880565649)
0900700010695,POINT (-99.11523975409426 19.3663789697061)
0900700012390,POINT (-99.07905171842324 19.38524425820191)
0900700010727,POINT (-99.10771708586691 19.36199579849104)
0900700013064,POINT (-99.03949954246832 19.33023818698788)
0900700014147,POINT (-99.07462169199356 19.33268070210315)
0900700011015,POINT (-99.06683314242424 19.35818856028291)
0900700015427,POINT (-99.06895481952948 19.28746110645341)
0900700013079,POINT (-99.0420216153133 19.32894488668194)
0900700013115,POINT (-98.99878967704376 19.34045682092338)
0900700012174,POINT (-99.06578508685759 19.30465341268405)
0900700012189,POINT (-99.06568459380419 19.30067070043162)
0900700015709,POINT (-99.0826574687609 19.33632913950743)
0900700012403,POINT (-99.08477295206445 19.37956263476891)
0900700012456,POINT (-99.09882643036698 19.37842606793043)
0900700013083,POINT (-99.01682732604937 19.33566406238416)
0900700010939,POINT (-99.12003127822429 19.36071278829418)
0900700010981,POINT (-99.08831610116411 19.36025628444994)
0900700010021,POINT (-99.05665563575123 19.39290148811908)
0900700010055,POINT (-99.08223996754323 19.3900536238906)
090070001006A,POINT (-99.05847718267654 19.38728007447066)
0900700010089,POINT (-99.04271735019626 19.39173372559918)
0900700010093,POINT (-99.08838761820569 19.38839355214595)
0900700010106,POINT (-99.08550014901006 19.38772601487278)
0900700010178,POINT (-99.03619396048293 19.38837877908555)
0900700010182,POINT (-99.08958674153109 19.38502362264764)
0900700010214,POINT (-99.06369938398012 19.3789555989418)
0900700010318,POINT (-99.02430888987355 19.38217859644623)
0900700010322,POINT (-99.12045100946759 19.37903263459664)
0900700010375,POINT (-99.10453436853345 19.378854531235)
0900700010483,POINT (-99.13274982042853 19.37458368384627)
0900700010498,POINT (-99.13365210631581 19.36935136461852)
0900700010801,POINT (-99.13573875815348 19.36119008035498)
0900700010892,POINT (-98.9936009378134 19.36508028318931)
090070001134A,POINT (-98.9958994553436 19.35686513994586)
0900700011354,POINT (-99.11548109616497 19.34800553481081)
0900700013134,POINT (-98.9905744645675 19.33235980743342)
0900700015107,POINT (-99.00474708202492 19.36920880439607)
0900700013420,POINT (-98.98448739092215 19.33167374518765)
0900700013492,POINT (-99.08402059499369 19.30293841318887)
0900700013539,POINT (-99.07614873678926 19.29487868700157)
0900700014289,POINT (-98.9724805827865 19.32759846818194)
0900700014325,POINT (-99.08032041088639 19.29755298933024)
0900700014359,POINT (-99.06884407939553 19.29236715850775)
0900700015408,POINT (-99.07151631408895 19.28769545618457)
0900700014363,POINT (-99.06389539261559 19.29421328904098)
0900700015696,POINT (-99.02781783735746 19.36362839253831)
0900700015338,POINT (-99.01309902326594 19.32824140901556)
0900700015516,POINT (-99.03764314790384 19.31936971510368)
0900700010337,POINT (-99.1171480614133 19.37865155934142)
0900700011833,POINT (-99.1057985787731 19.33311752472175)
0900700010553,POINT (-99.07567334936886 19.36971158086657)
0900700010568,POINT (-99.07171478490332 19.36908257651053)
0900700010572,POINT (-99.06831132710286 19.36686449862768)
0900700010587,POINT (-99.03288070152144 19.37046254219256)
0900700010619,POINT (-99.02035364555947 19.3722541900562)
0900700010676,POINT (-99.12068923989669 19.36657746336966)
0900700010708,POINT (-99.1124711494613 19.36646118505735)
0900700013613,POINT (-99.04016066905277 19.39006633684898)
0900700013628,POINT (-99.03839044967648 19.39065893943634)
0900700013789,POINT (-99.10213927964078 19.34970365993222)
0900700013844,POINT (-99.06334884955344 19.34325391521172)
0900700014999,POINT (-99.0301237300242 19.34228878544592)
0900700015003,POINT (-99.02749682908663 19.3407544902744)
0900700015037,POINT (-98.97916474464762 19.33917537478488)
090070001522A,POINT (-99.08511565300861 19.33045398364264)
0900700015554,POINT (-99.02303269191542 19.33898057177089)
0900700015592,POINT (-99.03726472166133 19.38131358090205)
090070001561A,POINT (-99.08990544275275 19.31114260815031)
0900700015624,POINT (-99.08727567906207 19.3090180027693)
0900700015925,POINT (-99.08484086511002 19.32865045057281)
0900700010765,POINT (-99.02631321387562 19.36782662144492)
0900700012831,POINT (-99.07773881171576 19.33580815258377)
0900700015681,POINT (-99.03161149952206 19.3654055107766)
0900700014128,POINT (-99.06962815171076 19.33548841266344)
0900700015732,POINT (-99.04502629143462 19.32227202139129)
0900700015766,POINT (-99.00500590353451 19.37360866288179)
0900700015770,POINT (-99.005570191538 19.37065199649901)
090070001579A,POINT (-99.05586596498661 19.37482443663708)
0900700012668,POINT (-98.98813660960815 19.34895190809632)
0900700010958,POINT (-99.11266365754568 19.35971364435538)
0900700011000,POINT (-99.07018044663982 19.35867077089685)
0900700011087,POINT (-99.03769688981565 19.36136524768011)
0900700014039,POINT (-99.05403632729245 19.33426936498935)
0900700013651,POINT (-99.08009808043673 19.36564151332568)
0900700013666,POINT (-99.07675217107902 19.363893885975)
0900700015728,POINT (-99.04519811432293 19.32320056282587)
0900700013670,POINT (-99.07312438404412 19.36137153724367)
0900700013702,POINT (-98.99946651994577 19.367097585571)
0900700013721,POINT (-99.06316956101409 19.36213960098143)
0900700013740,POINT (-99.09982236113254 19.35388385499957)
0900700013774,POINT (-99.08860387642247 19.35431899024713)
0900700013859,POINT (-99.04869621092647 19.33679022869032)
0900700013863,POINT (-99.04601360457761 19.33958096961045)
0900700013967,POINT (-99.09082554136027 19.35121860003188)
0900700013971,POINT (-99.08558567452658 19.35117165135558)
0900700014043,POINT (-99.05085296890842 19.33566579841181)
0900700014058,POINT (-99.05971599005441 19.33046272632891)
0900700014448,POINT (-99.08580346314338 19.31864135177291)
090070001383A,POINT (-99.06590774518138 19.34495742732313)
0900700014077,POINT (-99.01442973145953 19.3385708199626)
0900700014768,POINT (-99.05407327295217 19.33091416769113)
0900700014838,POINT (-98.9777232165769 19.34021637223193)
0900700014857,POINT (-99.02345798474582 19.32317176542899)
0900700015751,POINT (-99.00791407412628 19.37383007279777)
0900700015817,POINT (-99.05504396042102 19.37298233730122)
0900700014861,POINT (-99.03224219307796 19.31998089922248)
0900700014772,POINT (-99.04988581948442 19.32893206009312)
0900700015018,POINT (-99.06118821115099 19.3339655489608)
0900700014876,POINT (-98.99650501145105 19.33628060448129)
0900700014895,POINT (-99.07253938838205 19.38520362594624)
0900700014908,POINT (-99.07026619998527 19.38234953333436)
0900700014880,POINT (-98.99970316952205 19.33689251566735)
0900700014912,POINT (-99.07987901248876 19.35733432216642)
0900700014931,POINT (-99.00887773731688 19.34872386519828)
0900700014946,POINT (-99.01336743605458 19.34754259816487)
0900700014965,POINT (-99.09388320337474 19.32573228544542)
090070001497A,POINT (-99.07781759334979 19.34990580241446)
0900700014984,POINT (-99.0800089920029 19.34689149954479)
0900700011104,POINT (-99.0255103238536 19.35723733494438)
0900700011123,POINT (-99.01207045570523 19.35734816282648)
0900700015215,POINT (-99.07964848985131 19.33086603308695)
0900700014503,POINT (-99.0080239615834 19.37172388270354)
0900700015304,POINT (-99.00406527941223 19.3435555194227)
0900700015319,POINT (-98.99368902081255 19.33949860729086)
0900700015465,POINT (-99.06151130978489 19.3251115105423)
0900700015569,POINT (-99.02016758691715 19.33817428177408)
0900700015573,POINT (-99.0266608427448 19.33336277718205)
0900700015588,POINT (-99.02417541007203 19.33208152304906)
0900700015639,POINT (-99.05081354825978 19.3793523000805)
0900700015643,POINT (-99.04907025034069 19.37816673054144)
0900700015662,POINT (-99.04438334699167 19.36976685262786)
0900700015677,POINT (-99.03710243968477 19.36709421189193)
090070001586A,POINT (-99.09248740523006 19.3121801358782)
0900700015821,POINT (-99.05310536199352 19.37348332582692)
0900700015836,POINT (-99.05354524920899 19.37240933211049)
0900700015840,POINT (-99.05256877668621 19.37272002745214)
0900700014715,POINT (-99.0446217658539 19.35987658919153)
0900700011301,POINT (-99.04969145603999 19.34648486455832)
0900700011091,POINT (-99.03182098619224 19.35954438042978)
0900700011246,POINT (-99.07264515693514 19.35249957261635)
0900700011369,POINT (-99.10974128848663 19.34611884297411)
0900700012935,POINT (-98.99355953125081 19.34479360170963)
0900700012691,POINT (-99.01743060298263 19.34465032652389)
0900700011636,POINT (-99.05881867759878 19.33974052484767)
090070001465A,POINT (-99.04992765371691 19.37117645430372)
0900700011640,POINT (-99.05581194668207 19.34090283631852)
0900700011655,POINT (-99.05035167367544 19.34050689380123)
090070001166A,POINT (-99.0444216677035 19.34421399145776)
0900700011674,POINT (-99.04047550290417 19.34694411424356)
0900700011689,POINT (-99.03781566395544 19.346331251608)
0900700011693,POINT (-99.03476568301203 19.34576102709981)
0900700011706,POINT (-99.02976085097583 19.34819361165131)
0900700011710,POINT (-99.02333640070152 19.34784634638817)
0900700011763,POINT (-99.03762804968548 19.33988646043197)
0900700011960,POINT (-99.07854472601718 19.31968468642565)
0900700011975,POINT (-99.07374752519148 19.32317768108075)
0900700010657,POINT (-99.13044949245588 19.36470216031799)
090070001198A,POINT (-99.07235333647044 19.31843869919746)
090070001294A,POINT (-98.98922740404862 19.34352316400168)
0900700012653,POINT (-98.99045971893136 19.34941424559368)
0900700014560,POINT (-99.0583597650953 19.37561352706187)
090070001287A,POINT (-99.05762082287039 19.33493145934961)
0900700012884,POINT (-99.05516130340945 19.33706216966494)
0900700012899,POINT (-99.03383149496707 19.33865973258285)
0900700014452,POINT (-99.09105248379814 19.31627686621836)
0900700012901,POINT (-99.02954057450611 19.33638538751211)
0900700012920,POINT (-98.99670258170387 19.34296066431955)
0900700010110,POINT (-99.08250908476482 19.38699659134884)
0900700012954,POINT (-98.98613316257456 19.34387613686197)
0900700012969,POINT (-98.98289184459881 19.34340329912896)
0900700012973,POINT (-98.99061483350896 19.34054995315367)
0900700013030,POINT (-99.04873708018268 19.33197791503075)
0900700013045,POINT (-99.04468934226016 19.33396959676504)
0900700015855,POINT (-99.05217174259204 19.37178080627587)
0900700011138,POINT (-99.00353371195416 19.36025092479982)
0900700011142,POINT (-98.99782466007272 19.36226745280085)
0900700011157,POINT (-98.9948170692933 19.36197723991132)
0900700011208,POINT (-99.10517321940247 19.35224465816683)
0900700011227,POINT (-99.09503495457818 19.35453065195554)
0900700011250,POINT (-99.06834028358227 19.35235259168994)
0900700013577,POINT (-99.03915393763403 19.38538482264985)
0900700011509,POINT (-99.03791757610385 19.35304006383183)
0900700010233,POINT (-99.05383924795979 19.38223488841708)
0900700011513,POINT (-99.03201988691548 19.35236246139151)
0900700011918,POINT (-99.06566222930452 19.32784408619297)
090070001159A,POINT (-99.07407889622237 19.34242597171918)
0900700011566,POINT (-99.11203773029713 19.34007387681719)
0900700011621,POINT (-99.0615805253256 19.34104928604116)
0900700015906,POINT (-99.06362817622848 19.33166922689274)
0900700014429,POINT (-99.09451282812651 19.32046599626462)
0900700015056,POINT (-99.05291127665591 19.32665692638909)
0900700014556,POINT (-99.05036252341394 19.37439508012132)
0900700015802,POINT (-99.05458401258132 19.37406540831629)
0900700011814,POINT (-99.06058101373667 19.33651736987779)
0900700011890,POINT (-99.07738323720285 19.32548144052975)
0900700014344,POINT (-99.07239049725133 19.29306512892917)
0900700011848,POINT (-99.10719040073074 19.33091501581353)
0900700012140,POINT (-99.07504335854665 19.30448087046783)
0900700012155,POINT (-99.07144745221245 19.30173632602129)
090070001216A,POINT (-99.0684133196865 19.30211616967332)
0900700012460,POINT (-99.10160995963523 19.37216194359313)
0900700012475,POINT (-99.09075689982471 19.37306748565811)
0900700012494,POINT (-98.99944144956046 19.36513689192109)
0900800010067,POINT (-99.21899856400445 19.3315560946143)
0900700012507,POINT (-99.00144697613598 19.36355441489532)
0900700011034,POINT (-99.05941902444395 19.35853369079211)
0900700012530,POINT (-99.01803810129076 19.35653189571918)
0900700012545,POINT (-99.02081238871843 19.3530305235529)
090070001255A,POINT (-99.08196794489319 19.35135535089237)
0900700012757,POINT (-99.01911220354006 19.34136887995989)
0900700014062,POINT (-99.06284369757071 19.3265069070864)
0900700012070,POINT (-99.08084478210111 19.30596961059476)
0900700012564,POINT (-99.00416946323354 19.35348362069573)
0900700012579,POINT (-99.00856408152049 19.35320652510298)
0900700012600,POINT (-99.01451415763708 19.35047093079922)
0900700012615,POINT (-99.00109513659507 19.35163352140787)
0900700011994,POINT (-99.06797312516045 19.32214373418831)
0900700012047,POINT (-99.06742187397569 19.31533435441791)
0901200010801,POINT (-99.23109718759312 19.28004954162951)
0900700012085,POINT (-99.07962500839109 19.3087710117058)
090070001209A,POINT (-99.07328133072056 19.30889723642446)
0900700012102,POINT (-99.06871019083403 19.3102268754677)
0900700015484,POINT (-99.05539674507583 19.37647313807178)
0900700010074,POINT (-99.04740422247627 19.38994756188668)
090070001376A,POINT (-99.0905915251556 19.35729458122919)
0900700014537,POINT (-99.05227204656813 19.37534693711935)
0900700010360,POINT (-99.11034727244082 19.3752871714699)
0900700014541,POINT (-99.05176803761734 19.37433150029661)
0900700012117,POINT (-99.07003569818333 19.30663829486368)
0900700013717,POINT (-98.99741485620081 19.36655163610909)
0900700010943,POINT (-99.11615570392081 19.36021462138258)
0900700010591,POINT (-99.03024223139458 19.36862549476946)
0900700011335,POINT (-99.00080251579502 19.35702750980134)
0900700011496,POINT (-99.04470816239152 19.34714923896692)
0900700013026,POINT (-99.05801721984467 19.32944941342338)
0900700010731,POINT (-99.10031544805526 19.36488120660244)
0900700014594,POINT (-99.05624585417421 19.37365597718101)
0900700014645,POINT (-99.05018349281144 19.37293611112388)
0900700014683,POINT (-99.03411337662136 19.3678139993371)
0900700010962,POINT (-99.10380603094698 19.35917511210899)
0900700010784,POINT (-99.01488947861429 19.36749252587738)
0900700010816,POINT (-99.12702908186604 19.36316303899894)
0900700010820,POINT (-99.12383318475354 19.36349401735202)
0900700010835,POINT (-99.02091950915948 19.36307877767729)
090070001084A,POINT (-99.01316757846106 19.36114434803524)
0900700010854,POINT (-99.00883759467517 19.36463101071358)
0900700011284,POINT (-99.05488476728145 19.35123870209432)
